name,website,category,location,y,x,fecha,info,employees,tech,companies_partner,problem_to_solve,value_ideal_customer,status,year_,cat
Vizonomy,http://www.vizonomy.com,"Mapping, GIS, Internet Of Things, Urban Planning, Climate Risk Management (for cities and supply chains)","Washington D.C, USA",38.904903999999995,-77.034012,June 2014,"Vizonomy is a leading Design & Consulting firm for data science, web visualization and online mapping. Headquartered in Washington DC, we build custom tools that visualize environmental risk, monitor projects in real-time, and interpret drone and satellite imagery continuously.",25 to 30,"GeoServer, Angular, Node, CARTO, Mapbox, D3, Express, Bootstrap","CARTO, Resurgence, 427MT, AECOM, Mapbox",We've built a web-based climate risk tool that shows long-term flood risk (sea level rise and regular flooding) and projected flood risk based on current meteorological conditions,"The World Bank, national governments (e.g. Sri Lanka, Argentina), and US municipalities (e.g. Washington DC)",Self-Funded,2014,"mapping,gis,internet of things,urban planning,climate risk management (for cities and supply chains)"
Spatineo,https://www.spatineo.com,"Location Data Analytics, Location Intelligence","Helsinki, Finland",60.200725,24.940901999999998,January 2011,"Spatineo is the impact assessment and quality assurance expert for spatial web services. Our goal is to make spatial data infrastructures widely used and reliable, and assist organisations in making their data and services more impactful. Spatineo’s customers represent a range of different industries from numerous countries, industries such as cadastral and land registry authorities, mapping, environmental and natural resources organisations, transportation agencies, IT service providers, cities, regions and municipalities.

Spatineo is actively involved in international standardization efforts such as OGC (Open Geospatial Consortium) and the EU INSPIRE directive. We are participating in the development of these standards to ensure they best serve their intended purpose and are practical to use and implement.",5 to 10,"AWS, Javascript, Geospatial standards (OGC, INSPIRE)",-,"Spatineo helps organizations to optimize their investments in the Spatial Data Infrastructure and prove the value of their spatial information and web services. We offer easy-to-use cloud-based applications for usage analytics, service level monitoring and performance testing, specifically developed for spatial web services.","The Environment, Nature and Energy Department in Flanders (LNE) is responsible for the coordination and IT support for DOV and MercatorNet, two corporations active in Flanders. Via those corporations, different entities in Flanders are working together to build main spatial data nodes in the SDI in Flanders: for geological, geotechnical, hydrogeological and pedological data via DOV.

Due to the importance of the corporations and the distributed systems, it is essential for LNE to get up-to-date information on the performance and usage of their services. After testing the possibilities Spatineo Monitor offers during the free trial period, LNE was convinced of the added value the tool would bring for ensuring and improving the quality of their spatial web services. LNE decided to make a four-years contract of the use of Spatineo Monitor in April 2015.

According to Marleen Van Damme, the coordinator of DOV and MercatorNet, it was soon very clear that tracking the services with Spatineo Monitor is very useful – mainly as Spatineo is independent of their own infrastructure and therefore serves as an objective monitoring tool. This allows them to continuously evaluate their performance from different angles including INSPIRE.","Self-Funded, Angel investors",2011,"location data analytics,location intelligence"
SocialCops,https://socialcops.com/,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS, Urban Planning, Human Geography, Monitoring and Evaluation","New Delhi, India",28.516296,77.197856,August 2013,"SocialCops is a data intelligence company that is powering 150+ organizations like Unilever, Pepsi, WPP, UN and more to help them make better decisions. We were recently recognized as a Technology Pioneer by the World Economic Forum and have been named in NYT's list of global visionaries. Our platform overcomes the immense challenges of dirty data in emerging markets and transforms it into intuitive insights and better decisions. Today, we are leading the way for global companies, nonprofIts, leaders and organizations around the world and help them engage with data to make important decisions. We are proud to empower diverse organizations to truly drive intelligence from data using our products.

We were also part of the Google Launchpad Accelerator 2018 and have been recognized in the Fortune India 40 Under 40 list in 2015 and 2016, Forbes India 30 Under 30 2015, Forbes Asia 30 Under 30 2016. We were also selected as India's Top 10 Emerging Startups by Nascomm to meet the Prime Minister of India.",40 to 50,"Mapbox GL JS, Postgres/Postgis, QGIS, Python - Shapely/Fiona/Rasterio, Rstats - velox/raster, Vector Tiles","SocialCops partners with leading governments, leading philanthropies, businesses, and nonprofits to help them make their toughest decisions easier, faster, and more effective. We work with over 150 organizations across 35+ countries, including the United Nations, World Bank, Pepsi, Unilever, Gates Foundation, and Government of India. ","Every organization today goes through certain stages on their journey of data maturity. But the top engineering and data science talent migrate towards large corporations and organizations. It is often difficult for low tech organizations to leverage data to solve complex problems and make important decisions.

At SocialCops, we wanted to help business bring together their internal data with external insights to solve their problems, make better decisions, and take informed steps in a more data-driven manner. Our platform is used by businesses across sectors and categories to leverage highly granular data for a variety of use-cases including product launches, trigger-based marketing, informed market expansion, hyperlocal geotargeting, government scheme monitoring, trade monitoring, disease prediction, strategic investments, and sales force effectiveness. Our work helps build a world with smarter cities, happier citizens, better policies, and a brighter future.

SocialCops' data capabilities include (1) the integration of 600 public data sources in India, (2) a data cleaning pipeline with a geographic entity recognition system for the developing world, (3) India-specific mapping with updated district, sub-district and village-level maps, (4) a high focus on decision-making, (5) an intuitive dashboard-building and visualization platform, (6) the ability to collect data in real time via mobile devices (from remote and rural locations in absence of internet), and (7) the ability to automate the data cleaning and engineering processes.

We have built an alternative data repository, Statlas, (http://www.statlas.com/) which has data from 600+ sources. These sources include statistical surveys like the census, expenditure surveys as well as a lot of government scheme data which typically gets updated more frequently - e.g. Gram Sadak Yojana to track where roads are being built every month. This data is further enriched by various geospatial and satellite sources which can capture things like the number of buildings in 1 km grids of the entire country. On top of this data, we've built a layer of intelligence. Our team of economists, sector experts and data scientists have built various indices and predictive models - to convert all of this raw data into actionable “insight packs”. 

Market leaders across industries such as CPG, Telecom, O&G and more, are subscribing to this repository for granular, regularly updated to solve some of their biggest challenges using data. We've launched an Affluence Index at 1 km grids of India that provides real-time insights into the economic prosperity of a region. Our Road Network data pack maps the entire spatial network of roads in India and provides insights at 1 km grids about the length, quality, and connectivity that these roads provide. Our Economic Potential data pack can identify the upcoming hubs of growth across the country, which are likely to outgrow others in the next few years! Rural health data packs on nutrition, immunity, disease incidence, and predictive insights such as our malaria forecast pack.","As part of the Ujjwala Yojana scheme, the Ministry of Petroleum and Natural Gas wanted to open 10,000 new LPG distribution centers. They partnered with SocialCops to find locations with the greatest impact and reach people who needed clean cooking fuel the most. The goal was to reach the people who need connections most, rather than opening centers in India's wealthy or urban areas. We used a diverse set of data to figure out where to open up each new LPG center so it would have the greatest impact on improving access to clean cooking fuel.

1. We didn’t actually know the location of the existing LPG centers. In one month, 17,000 distributors downloaded our app to submit their location coordinates from the remotest corners of the country.

2. Since sales data only cares about profitability, we knew we had to add external data so we could place centers in the places with the greatest impact. So we pulled data from Access, our data repository, to map population, affluence, infrastructure, LPG penetration, and a host of other data points.

3. 6.4 million data points about LPG penetration, income, population growth, and more were sourced from our data repository. We pulled disparate data about sales, number of consumers and supply, and more from the scattered internal data systems of India's 3 oil companies. We merged and geocoded all this data with Transform, our data cleaning engine.

4. The transformed data were visualized in an interactive dashboard with the state, district, and village-level comparisons, geo-clustering, and the 10 best locations for an LPG center in every district.

Through PMUY, initially, 5 crore BPL households were targeted for providing deposit free LPG connections to BPL households by 31st March 2019. In a record time of 28 months for its launch, PMUY achieved the initial target of providing 5 crores LPG connection to BPL households.

Our ideal customers include companies and organizations at different stages of their journey towards data maturity who are looking to use data intelligence to power their work and make informed decisions. From companies who are just getting started with digital data collection to companies ahead in the data maturity curve ready to leverage the power of alternative data in their business to stay ahead, our capabilities are build to serve them all.",Series,2013,"location data analytics,location intelligence,location-based marketing,mapping,gis,urban planning,human geography,monitoring and evaluation"
Airsage,https://airsage.com/,"Location Data Analytics, Location Intelligence, Telecommunications","Atlanta, Georgia, USA",33.791514,-84.389667,May 2000,"AIRSAGE pioneered the transformation of of wireless network signaling data 
into powerful mobility information soon after their founding in 2000. 
Early research led to unique developments that enable AirSage to provide
 more accurate location information, ubiquitous traffic coverage of 
roadways, and time-of-day traffic patterns.",11-50,-,-,-,-,Private Equity,2000,"location data analytics,location intelligence,telecommunications"
Indoors,https://indoo.rs,"Indoor Mapping, Navigation","Vienna, Austria",48.203249,16.335032,2010,"indoo.rs provides professional real-time Indoor Positioning solutions for mobile apps. Our cutting-edge technology is based on a combination of smart algorithms, iBeacons and smartphone sensors and allows for robust and reliable positioning results in any kind of indoor environment.",20 to 30,-,-,-,-,Seed,2010,"indoor mapping,navigation"
Indoor Atlas,http://www.indooratlas.com,"Indoor Mapping, Navigation","Oulu, Finland",65.060636,25.440228,2012,"
IndoorAtlas is the indoor positioning platform for mobile applications. We provide the full technology stack and building blocks to add features like indoor positioning, wayfinding, geofencing, asset tracking, and location intelligence into any experience you create.

We are dedicated to serving app developers from all around the world by helping them to build amazing location-based apps and giving them the freedom and scale they deserve.",11 to 50,-,-,-,-,Venture Capital,2012,"indoor mapping,navigation"
Nextome,https://www.nextome.net/,"Indoor Mapping, Navigation","Puglia, Italy",40.966684,17.115385999999994,December 2013,"Nextome is leader in indoor positioning. It localizes, guides and tracks
 users and asset with a simple to install, ready-to-use and low cost 
solution.",1 to 10,-,-,-,-,Not Available,2013,"indoor mapping,navigation"
Point Inside,https://www.pointinside.com/,"Indoor Mapping, Navigation","Bellevue, Washington, USA",47.615012,-122.195851,February 2009,Point Inside produces indoor maps to enable location-centric digital strategies across industries.,11 to 50,-,-,-,-,Series,2009,"indoor mapping,navigation"
Geoblink,https://www.geoblink.com/,Location Intelligence,"Madrid, Spain",40.433963,-3.704676,March 2015,"Geoblink is the Saas-based Location Intelligence solution that enables professionals from the retail, FMCG and real estate industries to take informed decisions about their business strategies. With its easy-to-use and visual interface, Geoblink’s advanced data capabilities and predictive technology empower companies of any size to perform in-depth market research and gain strategic insights in a matter of minutes. This competitive business intelligence is what helps these professionals to maximise the efficiency of their store networks, make accurate sales forecasts as well as optimise their distribution, marketing and expansion strategies.

Geoblink’s Location Intelligence platform serves many brands such as Danone, KFC, Papa John’s, Carglass, CBRE, Amrest and Restalia, among others.

For more information on how to optimise your business strategy with Location Intelligence, please visit: www.geoblink.com",50 to 60,-,-,"In today’s competitive business landscape, many companies are struggling with location-related problems and think that they need a team of consultants or a dedicated team of experts to solve them. However, Jaime Sánchez-Laulhé founder and CEO of Geoblink thought differently—what these companies really needed was a software capable of providing them with the right data and accurate analysis to do it themselves. This is the gap Geoblink’s platform solves in the market. Geoblink is the Location Intelligence solution that enables professionals from the retail, FMCG and real estate industries take informed decisions about their business strategies. The platform compiles data from public, private and business sources that empower companies of any size to perform in-depth market research and gain strategic insights. This competitive business intelligence is what helps these professionals to maximise the efficiency of their store networks, make accurate sales forecasts as well as optimise their distribution, marketing and expansion strategies, among other benefits.

It’s important to mention that when we say location intelligence, we don’t just mean data on where a particular establishment is located. There are many factors that contribute to the success of a business in a certain area. For example, the level of proximity a potential (or current) location has to competitors is crucial to know as a means to follow up on their movements or guide an expansion strategy. Other key location data elements to take into account when evaluating a specific area is the amount of footfall traffic a location receives as well as understanding the true radius of influence a catchment area has. Additionally, the type of potential customer who frequents a particular location will determine their behaviour towards a certain product. Having this kind of information ahead of time is a real game changer for these industries because it allows them tailor their marketing campaigns to really connect with customers in a given zone.

The most innovative aspect of the Geoblink platform is not only its ability to gather all of these different data sources and display them on an easy-to-use interface, but also the predictive capabilities of the platform which allow these professionals to plan out their strategy. That’s the true power behind the concept of Location Intelligence.","Anytime Fitness is an American gym franchise co-founded in 2002 by Dave Mortensen and Chuck Runyon. As one of the fastest growing gym chains in the world, this company has a highly demanding franchise strategy. One of their priorities is to deeply understand the target markets where their franchises are located and they use Geoblink to get in-depth analyses and demographic data on the people in the area. This information helps to guide their franchise expansion strategy by knowing who their potential customers are, what they are like, how to market to them, and where to find them. It also has shown them what their true area of influence is, meaning the distance their customers are willing to travel to use one of their gym facilities. With the help of Geoblink, Anytime Fitness was able to adapt their strategy, test out new areas potential franchise areas, and also capitalise on the elements that were making them successful—continuing to open gyms in locations that were close to middle-class residential areas. This data has become a powerful tool to support franchisees within the chain in their expansion strategies, opening more gyms in similar neighborhoods that fit within Anytime Fitness’ “success criteria”.",Series A,2015,location intelligence
Urban Data Analytics,urbandataanalytics.com,"Location Data Analytics, Location Intelligence","Madrid, Spain",40.429207,-3.693797,September 2014,"We help companies, cities and governments to understand the dynamics of Real Estate.We use tools, in a micro segmented and microlocalized way, that collect, structure, produce, and analyze information from different sources (private, open data, social networks, our own…)This results in making quick and documented economic and social decisions.",10 to 20,"Java, Python, Postgres, Kubernettes; Google Cloud; and React, Excel; Tableau; Esri; QGIS;R, Carto",-,"We have the first Global Real Estate Information and Analytics platform. We usually define ourselves as“The Real Estate Bloomberg”. We are using the cutting edge technologies for this purpose in the fields of Location Intelligence , Big Data and Artificial Intelligence. /  We provide transparency to all the decision makers in the Real Estate Industry. From the biggest Property Funds to individual consumers that wan’t to take better and accurated Financial decisions to buy or rent a house. Buying a single home or managing a big assets portfolio involves taking very risky decisions. We help our custommers to minimize this risk and to improve the yields / Real Estate information is all about Location information. We use location data to improve our algorithms, to provide better ways to visualize our analysis and to create more usable and powerful tools that onlye need a simple location to be executed

","Are you a Family Office managing a diversified Real Estate Portfolio? Are you sure that the assets that you have are the best to invest in? Are you managing it correctly? Do you have enough information to obtain the best Yield with the lowest risk? / This is only a very simple use case, we have dozens more,  but the value added is really high. ",Self-Funded,2014,"location data analytics,location intelligence"
Radar io,radar.io,"Location Data Analytics, Location Intelligence","New York City, USA",40.704238000000004,-73.986758,May 2016,Radar is the location context platform. We help companies build better products and make better decisions with location context.,5 to 10,"iOS location services, Android location services, React, React Native",-,"Radar (https://radar.io) is the location platform for mobile apps. We help companies build better products and make better decisions with location data. Radar is defining a new category of developer platform. If Stripe is for payments and Twilio is for communications, Radar is for location. You can learn more about us and the problem we are solving here: https://radar.io/blog/millions-of-devices-new-partnerships-and-a-2-million-seed-round-led-by-accel",See case studies and customer stories here: https://radar.io/blog/categories/customers,Series,2016,"location data analytics,location intelligence"
Gather,gatherhub.org,"Location Data Analytics, Location Intelligence, Mapping, GIS","London, UK",51.524467,-0.09979,January 2016,"Gather uses data intelligence to get toilets to people who need them.
",1 to 5,"We used Invision, Carto and React to build demos of a potential data sharing platform.
We have used R to clean and analyse the data. ",-,"Gather brings people and data together to solve the global urban sanitation crisis. By 2030, 3 billion people will live in cities without access to a working toilet. In 2017, the World Bank concluded that poor data has led to an ineffective allocation of resources across the sanitation sector. Our own research revealed that a lack of quality data on urban sanitation was making the sector less strategic, efficient and collaborative than it could be. We also noticed an acute need for the sector to better track its progress in providing sanitation for people living in cities and achieving Sustainable Development Goal 6.2. 
We want to change how the urban sanitation sector collects shares and uses its data, including the data on the location of sanitation infrastructure and services. Standardised data, accessible through a data sharing platform, will allow organisations across the urban sanitation sector to work more effectively, efficiently and collaboratively to provide sanitation to people living in low income communities.","Our ideal customers are organisations who want to expand their services (e.g. toilet infrastructure, toilet waste collection, waste treatment) in low income urban areas. 
Several sanitation service providers have already shared their data with us. One organisation working in Lusaka, Zambia sent us a comprehensive data set on 54,000 households. We then invited 20 data scientists to join us for the world's first urban sanitation data dive. They investigated the validity and usefulness of the data so that we could let the provider know how it could reduce the amount of data it collected while also improving the quality of the data so that it could make better decisions. ",Self-Funded,2016,"location data analytics,location intelligence,mapping,gis"
Azimap,https://www.azimap.com,"Mapping, GIS","Cookstown, Northern Ireland, UK",54.647670999999995,-6.744261,August 2014,"Azimap is a web-based GIS that is transforming the way Public Sector organisations access, consume & analyse data.  

Azimap is enabling governmental organisations to become more effective & open, providing departments at all levels with the tools to make better sense of their location data. It's simple yet powerful tools is helping to improve project collaboration, support strategic decision making, boost performance & enhance service delivery.",5 to 10,"Open Layers, GeoServer, .Net, PostgreSQL, MS SQL, OSRM, Python",Mallon Technology,"Azimap has recognised the highly technical nature of current desktop GIS software/solutions and the need for a solution that bridges the gap between providing a system that non-technical users can access vs a system that provides experienced users with the functionality that they are accustomed to. 

Azimap is providing users with the tools to transform the way organisations access, consume & analyse their data. Functionality has been designed around the end user, with wizards to guide non-technical users and the most powerful analysis tools in a web GIS for the more experienced user.

Azimap is helping to democratise the use of GIS, making it easier for employees at all levels of an organisation to access and use GIS & location data.",Azimap has been utilised by Local Authorities to upgrade their legacy desktop GIS infrastructure and to expand its use to all members of the organisation. It now provides the sole GIS functionality for Local Authorities and enables the further development & upgrade of process applications on the platform.,Acquired,2014,"mapping,gis"
Spectator,https://spectator.earth,"Remote Sensing, Photogrammetry, Computer Vision, Augmented Reality","Krakow, Poland",50.02113,19.886197,May 2017,"Spectator lets you plan, collaborate on, and share observations from satellite data. It helps to speed up the process of new remote sensing products development, from data aggregation and management, through processing and team collaboration to publishing the end-product for users to interact with it.",1 to 5,"Keras, Python, React, Scikit, GeoDjango","Stevenson Astrosat, Envisage Space, ","We've finished an API that makes it easier for users to aggregate satellite images and also predict and plan future acquisitions. Since January 2017 this year we're testing beta version of our web interface, adding improvements and functionalities based on user feedback. Currently we're in the process of finishing phase 2, which will be published in Fall 2017, that focuses on easier collaboration and sharing your satellite discoveries.","We've created a module in Spectator for Maritime Institute in Gdansk, Poland who was in need of monitoring sea levels across Baltic Sea. Without satellite help it's impossible to get good coverage and fully understand the dynamics of the sea which is crucial for coastal authorities to provide ensure security along the coast. Using Spectator as an engine we were able to deliver the solution in just couple of months, as the infrastructure for everything was already there, we just needed to add couple of processing algorithms for satellite data and Maritime Institute could quickly interact with the data complementing their work.",Self-Funded,2017,"remote sensing,photogrammetry,computer vision,augmented reality"
SKYMAP GLOBAL PTE LTD,https://skymapglobal.com/,"Remote Sensing, Photogrammetry, Drones, Computer Vision, Augmented Reality",Singapore,1.3289520000000001,103.876552,January 2013,"SkyMap Global is one of Asia’s leading Earth Observation Analytics company on a mission to help businesses leverage spatial data for growth. Using advanced computing, machine learning & artificial intelligence on near real-time data from satellites, drones & sensors, we help you analyse, visualise & discover opportunities. In collaboration with technology partners worldwide, we build smart, efficient & affordable cloud-based solutions to help you gain critical insights & make the right decisions.",80 to 200,"Open Source, ESRI, Google, AWS, Tensor Flow","ESRI, Google Maps, Triplesat, Spaceview, Planet",We are working on AI/ML for extracting information from Images captured by Drones/Satellite. We have been able to get some initial success and are building cloud based tools for democratizing the creation of data for everyone to use.,We are working with several clients who need such a solution. They depended on offsite data capture and that took much longer time to generate. The tools we have developed can be used after training the data sets and work on commercial softwares such as ESRI and Open source.,Self-Funded,2013,"remote sensing,photogrammetry,drones,computer vision,augmented reality"
Autodesk,http://www.autodesk.com/,"3D Technology, Architecture, Construction","San Rafael, California, USA",38.005463,-122.530667,January 1982,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.",5001 to 10000,-,-,-,-,IPO,1982,"3d technology,architecture,construction"
DataCapable,https://datacapable.com/,"Location Data Analytics, Location Intelligence","San Diego, USA",,,2013,"DataCapable provides solutions and services to align operational data with customer engagement opportunities. Various software modules have been built by DataCapable to empower anyone to use unique EVENT MAPS to interact with digital customers, easily and comfortably, through their preferred communications channels.",10 to 20,-,Esri,-,-,Self-Funded,2013,"location data analytics,location intelligence"
Jibestream,https://www.jibestream.com,"Location Data Analytics, Location Intelligence, Navigation, Location-based Marketing, Mapping, GIS, Internet Of Things","Toronto, Ontario, Canada",43.654369,-79.426281,August 2009,"Jibestream’s indoor mapping and location platform provides you with the tools to add intelligence to complex indoor spaces by integrating business data with indoor maps.

The company’s geospatial platform gives you the flexibility and control to create tailored map-enabled solutions that address multiple use cases with a single platform.",30 to 40,"We build APIs and SDKs and use Java, PostgreSQL, Redis, JavaScript, ReactJS, Redux, iOS, CoreGraphics, Android, Canvas, WebGL 2.0 to accomplish it.","Jibestream works with an ecosystem of partners including technology, integration and distribution partners.
- Technology partners: Mist, indoo.rs, Cisco, Enlighted, HERE, Imaginet, Slalom, MobileSmith, Yeti...
- Integration partners: Inrix, Vecna, PanicGuard...
- Distribution partners: Red River, AppOrchid...",We spend over 90% of our time indoors and yet the majority of indoor spaces are not ready for the information age. Organizations now need to understand the indoor world to effectively operate within it. The Jibestream platform makes indoor spaces addressable. We empower people to easily add location based experiences to their indoor world.,"Jibestream is fortunate to have many 'ideal' customers and has a rich history of successful deployments. One story that is representative of our typical engagement is with Brookfield Properties Retail Group (formerly GGP). In this case, our indoor mapping and location platform was used to power mapping for 115 of their mall properties. In addition to digitizing the maps and supporting their development team to embed maps into their apps (native mobile, website & kiosks), we also integrated into Brookfield’s central data source for tenant information and a predictive parking data source. The parking integration allows customers to view a map of the parking areas along with a projected status (free or busy) based on the day and time they will be going to the mall. 

At a high-level, Jibestream's ideal customer is one that requires indoor maps to enable a number of location-based use cases and requires a platform versus a point solution. Our product offering and expertise is best suited for enterprise customers that have a high volume of venues (scale), have their own development team and require complex integrations into third-party systems and data.",Series A,2009,"location data analytics,location intelligence,navigation,location-based marketing,mapping,gis,internet of things"
Digital Map Products,https://www.digmap.com,"Location Data Analytics, Location Intelligence, Mapping, GIS","Irvine, California, USA",33.639393,-117.852492,October 2000,We provide context to the world around you with the most powerful and fully extensible location intelligence platform available.,150 to 160,"Salesforce, Pardot marketing automation software, Kubernetes for containers and microservices",-,"Our mission is ""to embed the power of location technology into the workflows of every business and government entity in North America”. The problem we're trying to solve is access to affordable location solutions. Location technology and data has traditionally been very complex to implement and expensive to acquire. So, our easy-to-use platform is available out of the box, so you can use it that very same day. When our customers are ready to scale, our platform’s extensibility allows them to add their own data and workflows. Finally, with help from our Professional Services team, our platform even hooks into legacy enterprise systems or CRMs and can be customized to suit unique use cases.","As Southern California’s primary energy supplier, Southern California Edison (SCE) has to track and manage massive amounts of property data, and must regularly communicate information to key stakeholders and customers. This is a substantial undertaking, considering that the company provides electricity to about 14 million people over 50,000 square miles. When SCE first started looking around for location intelligence tools, they had just been handed one of the biggest projects in the company’s history. This project required SCE to gather, aggregate and analyze massive amounts of property data; however, the problem was that there was too much data floating around. This made it difficult to assess accuracy, usability, and to streamline complex workflows between project stakeholders. This was, until they found DMP's software application, LandVision. SCE has been a happy DMP customer since 2008. Read more: https://www.digmap.com/2018/04/27/spatial-data-needs-for-energy-companies/. Our ideal lacking the data and easy access to technology for a variety of departments and, in the end, are without the tools to make confident decisions.",Private Equity,2000,"location data analytics,location intelligence,mapping,gis"
Awesome Maps,awesome-maps.com,Mapping,"Berlin, Germany",52.513327000000004,13.458018,January 2010,"We create beautiful and informative maps to inspire you. We want to help you discover new places, stay curious and create new experiences.",10 to 20,-,-,"In a world that is all digital, full of impersonal information and data, we want to make maps beautiful and informative again! We've seen a huge upsurge in the types of amazing location based technologies and capabilities, but one thing we've lost in this is curation of information and the delight of a slowly made map full of visual details. Maps from hundreds of years ago were just as much instruments of navigation as illustrated stories and objects that inspired wonder, so we want to bring this back! We base most of our maps around a certain hobby or theme and inform on different places around the world- so a Kitesurf map has information on wave type, size, and season, while a Bucketlist map has amazing places and activities from around the world. We want people to find our maps beautiful and fun just as much as we want to give them concrete information that they seek (that would otherwise take multiple google searches, distraction, and all the other things that come from the internet).","A customer who has seen value from out product is one who learns about new places to go skiing, climbing, or diving, or someone who is inspired to take a trip to Bulgaria to see Kukeri because they saw it on our map! We hear stories like this all the time and it makes us so happy. Our ideal customer is anyone who has a sense of wanderlust and a desire to experience and know more about the world around them- in that sense age, gender and location isn't important to us.",Self-Funded,2010,mapping
Beaconinside,https://www.beaconinside.com,"Location Data Analytics, Location Intelligence, Location-based Marketing","Berlin, Germany",52.540989,13.386501999999998,March 2014,"Beaconinside enables companies from various industries to turn their local customer visits into data. Via our platform, the Proximity DMP, this data can be used to improve the shopping experience and optimize the customer journey in local stores. Companies can set-up and manage large-scale infrastructures of POI relevant technologies to gather location-based data for customer analytics.",20 to 30,"Bluetooth Beacons, inertial sensors, GPS, WiFi, OS core location services","Verifone, Google, CHEP, OSRAM and many more",Advance the Proximity DMP to provide the most reliable and scalable outdoor and indoor location-based marketing platform. We enable the next generation of LBS and consumer interactions at the point of sale.,"Retailers, service providers, location-based apps with consumer interactions in the physical world.",Series A,2014,"location data analytics,location intelligence,location-based marketing"
28East,https://www.28east.co.za,"Location Data Analytics, Location Intelligence, Mapping, GIS, Telecommunications","Pretoria, South Africa",-25.86158,28.256321000000003,January 2011,28East provides services and APIs to business clients who struggle with everyday spatial issues. We build custom apps and sites to cater for their specific map/spatial data needs.,1 to 5,"Postgres,NodeJs,GCP,Azure",-,We are trying to help Internet Service Providers map their coverage extend across the whole nation. We provide free maps to serve as their data entries and serve their data to potential customers in a very friendly and easy to use way. We help customers generate leads quickly and predictably.,"We provide a coverage map for CellC, a telecommunications provider. Their need was simple, a web map to help customers determine the coverage availability before they order, and not after the order and installation process only to find their service is limited. From this we have gained many strong relationships with the largest players for fibe and radio coverage with the primary goal of serving spatial data in a reliable and predictable standard to ensure their business logic maintains value and efficiency.",Self-Funded,2011,"location data analytics,location intelligence,mapping,gis,telecommunications"
Carto,https://carto.com/,"Location Data Analytics, Location Intelligence, Mapping, GIS","Madrid, Spain",40.420638000000004,-3.7059309999999996,January 2012,"CARTO is the platform that turns location data into more efficient delivery routes, better behavioral marketing, strategic store placements and more. 

Everyone, from business analysts to data scientists, use our software and location data to understand where and why things happen, optimize business processes, and predict future outcomes. We aim to universalize access to Location Intelligence by creating powerful, flexible, and easy-to-learn tools and then putting them in the hands of everyone, which we believe will ultimately transform and shape the future success of companies and organizations.

We accelerate innovation, find efficiencies, power new use cases and disrupt business models through the use of Location Intelligence.",120 to 140,"JavaScript, Redis, Ruby, Python, PostgreSQL or PostGIS are some of the most-commonly used technologies in CARTO.",-,"CARTO is the platform for turning location data into business outcomes. With its cloud-based platform, CARTO offers solutions helping users understand where things happen, why they happen, and even predict what will happen next: 

- Site Planning: Drive site selection and investment decisions with always-on data streams, enabling more accurate revenue prediction and reduced risk of failed location decisions.
- Territory Management: Design and align sales or service territories to increase productivity and reduce costs using the location component of your field operations data.
- Geomarketing: Convert location data streams into actionable insights on consumer behaviour for more targeted geomarketing campaigns for your brand.
- Mobility Planning: Make better infrastructure decisions, reduce traffic congestion, and speed up incident response in your city through location-driven solutions.
- Logistics Optimization: Improve supply chain management, identify network distribution gaps, and design optimized delivery service routes.","CARTO has a portfolio of 2,000 customers including Vodafone, Mastercard, BCG and New York City - as well as more than 300,000 users around the globe. 

- Vodafone have built their mobile data monetization solution (Vodafone Analytics) on top of the CARTO platform - allowing them to create a new line of business providing cutting-edge Location Intelligence solutions to their clients in Real Estate, Retail and the Public Sector.
- DHL use CARTO to optimize Territory Management for their sales teams - spatially analyzing CRM data from SAP to improve productivity and reduce sales costs, as well as providing visibility to sales leaders and account managers on how different regions are performing.
- Endesa use CARTO to gain insights for their Site Planning and Geomarketing strategies analyzing internal and external data from our Data Observatory to understand where to locate customer service sites and how to attract new customers in areas where their market share is lower than their utilities competitors.",Series B,2012,"location data analytics,location intelligence,mapping,gis"
Geocode,https://geocode.xyz,"Location Data Analytics, Location Intelligence","Ottawa, Ontario, Canada",,,December 2016,Geoparse and Geocode the World.,1 to 5,"Cloudflare, AWS EC2",AWS,We are building tools for geoparsing large data sets quickly and accurately.,"We have many clients in the geoparsing niche, for example deinort.de. Our ideal customer is someone who needs to geoparse locations in real time from short length text.",Self-Funded,2016,"location data analytics,location intelligence"
